platform,nama_produk,lokasi,harga
Facebook Marketplace,Sepatu Basket Nb Kawhi 4 *Jual Murah* Manado,Manado,Rp130
Facebook Marketplace,Baru terdaftar 2025 Toyota lainnya Manado,Manado,Rp245.000.000
Facebook Marketplace,Realme 16 5G 8/256 Manado,Manado,Rp1.000.000
Facebook Marketplace,Tanah Kapleng pinggiran kota Manado Manado,Manado,Rp30.000.000
Facebook Marketplace,Baru terdaftar Tumbler Stanley spyderman 1.2 liter 40oz Manado,Manado,Rp300
Facebook Marketplace,Keyboard roland E09.,"Remboken, Sulawesi Utara, Indonesia",Rp1.000.000
Facebook Marketplace,Sepatu Bola/Minisoccer Manado,Manado,Rp999.999
Facebook Marketplace,Crocs Ori Vietnam Classic Manado,Manado,Rp123
Facebook Marketplace,Sepatu,"Remboken, Sulawesi Utara, Indonesia",Rp90
Facebook Marketplace,Sepatu sekolah Manado,Manado,Rp150.000
Facebook Marketplace,PS2 320gb,"Remboken, Sulawesi Utara, Indonesia",Rp650.000
Facebook Marketplace,Pl,"Kawangkoan, Sulawesi Utara, Indonesia",Rp325.000
Facebook Marketplace,sepatu converse hitam Kota Tomohon,Manado,Rp120.000
Facebook Marketplace,Baru terdaftar Converse Cons Louie Lopez Pro 2 Low - Utility Manado,Manado,Rp1.500.000
Facebook Marketplace,TOPI PIALA DUNIA 2026 Manado,Manado,GRATIS
Facebook Marketplace,tv Kota Tomohon,Manado,GRATIS
Facebook Marketplace,VANS AUTHENTIC GOLDEN YELLOW Kota Tomohon,Manado,Rp450.000
Facebook Marketplace,"Sepatu Converse Chuck 70 3V dalam warna Dark Raisin, yang menampilkan desain tiga strap Velcro Manado",Manado,Rp300.000
Facebook Marketplace,Baru terdaftar Arcteryx beanie kupluk abu Manado,Manado,Rp 150
Facebook Marketplace,For sale Rak Manado,Manado,Rp 200.000
Facebook Marketplace,DIKONTRAKAN BANGUNAN USAHA (Baca Deskripsi),"Tondano, Sulawesi Utara, Indonesia",Rp 1.000.000
Facebook Marketplace,OPPO A6c Like New Warna Feather White (RAM 12/128GB) Manado,Manado,Rp 0
Facebook Marketplace,Infinix gt 30pro Manado,Manado,Rp 0
Facebook Marketplace,Rp 55.000.000Rp 60.000.000 2013 Mitsubishi ts 120 Manado,Manado,
Facebook Marketplace,Baru terdaftar 2002 Mitsubishi Lainnya Manado,Manado,Rp 32.500.000
Facebook Marketplace,2026 Toyota Calya Manado,Manado,Rp 3.000.000
Facebook Marketplace,Rp 19.000.000Rp 21.000.000 2023 Nissan mini bus Manado,Manado,
Facebook Marketplace,Motor,"Tenga, Sulawesi Utara, Indonesia",Rp 3.500.000
Facebook Marketplace,2002 Toyota soluna Kota Tomohon,Manado,Rp 25.000.000
Facebook Marketplace,Rp 170.000Rp 220.000 Fantech WGP13S Manado,Manado,
Facebook Marketplace,SONY PLAYSTATION 5 SLIM DISC Manado,Manado,Rp 11.399.000
Facebook Marketplace,PS2 Slim,"Bitung, Sulawesi Utara, Indonesia",Rp 350
