platform,nama_channel,judul_video,link_video
YouTube,Rivel Sumigar,IRL Produk Manado Ep5,https://www.youtube.com/watch?v=otSKxbP9TOI
YouTube,SEKOLAH BISNIS GRATIS,"Jual One More di Manado Terlengkap &amp; Terbaik, Gratis Konsultasi &amp; Cara Pemakaian + free Ongkir",https://www.youtube.com/watch?v=yWE8_Zx8ltY
YouTube,Gissel Tambariki,ade nona produk manado @tiktok_daily620 @tiktok,https://www.youtube.com/watch?v=7xdviJaCfUM
YouTube,BersehatiOnlineOfficial,Bersehati Online - Aplikasi Belanja Sayur #1 Manado,https://www.youtube.com/watch?v=DqZI2vy1B2M
YouTube,Laris Manis 7,Jualan Laris Manis | Toko Online | Pengiriman | Pelayanan Cepat | Manado,https://www.youtube.com/watch?v=PKXYqBBDLU4
YouTube,KOMPASTV MANADO,Mendag Larang Jual Beli Online di Medsos hingga Bea Cukai Perketat Jastip Barang Impor,https://www.youtube.com/watch?v=yDxjopidvP4
YouTube,Laris Manis 7,Jualan Laris Manis | Jualan Online Di Manado | Rumah Laris | Laris Manis | Jualan Di Manado,https://www.youtube.com/watch?v=iQCCMrzOW5E
YouTube,Adiytube,Yuk jual koin kuno milikmu sekarang,https://www.youtube.com/watch?v=uUwc9iJhClw
YouTube,Laris Manis 7,Jualan Online | Jualan Laris | Rumah Laris | Toko Laris | Laris Manis 7 | Jualan Di Manado | Manado,https://www.youtube.com/watch?v=BVI0-Ok3PsI
YouTube,KOMPASTV MANADO,"PENINGKATAN BARANG MASUK DI PT POS, DIDOMINASI PAKET BELANJA ONLINE",https://www.youtube.com/watch?v=a0GVfgxBr3Y
YouTube,Tirta style,Distributor Baju Serba 35 ribu Belinya dari kami Tirta Style !!! [20 RIBU khusus untuk Anda],https://www.youtube.com/watch?v=ey83EA9oQSM
YouTube,The Fauriza,Jualan Es Kekinian Awal Rugi Kini Bang Adi Raup Omzet 180 Juta/Bulan Dari 2 Outlet - Ide Jualan,https://www.youtube.com/watch?v=Yi4X1Qq4ndc
YouTube,Sulutheadlinenews,"Hadapi Era New Normal,  PD Pasar Manado Siapkan Layanan Belanja Online",https://www.youtube.com/watch?v=nr-gX-EeCOg
YouTube,KOMPASTV MANADO,Jangan Tergiur Harga Murah! Ini Modus Penipuan Belanja Online di Marketplace,https://www.youtube.com/watch?v=JFiVWDXGTMg
YouTube,Kemitraan Usaha Modal Kecil,Memulai Usaha? Join Kemitraan Es Teler Sultan FROZTICE Aja! #memulaiusaha #franchisekekinian,https://www.youtube.com/watch?v=-QkOl7h-T1E
YouTube,toko nur tv,CARA MENENTUKAN HARGA JUAL BARANG DI WARUNG SEMBAKO #shorts,https://www.youtube.com/watch?v=HgDoBTKhq4E
YouTube,bandbindbund,Permintaan Kalian! Beli Layangan Aduan,https://www.youtube.com/watch?v=s2_gt_TeeQ0
YouTube,KOMPASTV MANADO,Diskon Besar di Ramadan? Jangan Sampai Tertipu! Simak Tips Belanja Online Aman,https://www.youtube.com/watch?v=dGUJik92bKs
YouTube,Tribunnews Manado,Zaskia Sungkar Ogah Beli Barang Mahal Saat Belanja Online,https://www.youtube.com/watch?v=ZmBtsksUeBI
YouTube,fajarlilia,Akhirnya beli labubu asli #dramalucu #lucu #labubu,https://www.youtube.com/watch?v=JhWRM5yZRAg
YouTube,MANADO ONLINE GROUP,"GUBERNUR SULUT OLLY DONDOKAMBEY, BANGGA BUATAN SULUT MARI BELANJA DI KIOS UMKM, KLIKKIOS, SULUTHEBAT",https://www.youtube.com/watch?v=Vh1_28A9W68
YouTube,Usahawan muda,Toko grosir terlebgkap dan besar #grosir #sembako #kebutuhanpokok #toko #grosirterbesar,https://www.youtube.com/watch?v=cnJ5MKqbTeM
YouTube,Mama Kece,TEMPAT BELANJA MURAH MERIAH DI MANADO,https://www.youtube.com/watch?v=dnltivxzyLQ
YouTube,Tribunnews Manado,"Penjual Pakaian di Manado Mengeluh Omzet Turun 50 Persen, Ini Penyebabnya Menurut Akademisi Unima",https://www.youtube.com/watch?v=NU7SNhH5SXw
YouTube,Tribunnews Manado,Tertipu Toko Online,https://www.youtube.com/watch?v=HYJI6pyr5-Y
YouTube,Anang Kriswanto,Tempat Belanja Termurah di Manado || Multimart Megamas Manado,https://www.youtube.com/watch?v=v1lGpRQNnrg
YouTube,Move Manado,"Berbelanja dan Berkeliling di Lotte Grosir Manado, Manjo Bablanja di Lotte Grosir Manado",https://www.youtube.com/watch?v=E7uIiVJ7Etg
YouTube,Ria's Journal,Ke Indogrosir Belanja Non Member #indogrosir #shortsvideo #riasjournal #rekomendasibelanja,https://www.youtube.com/watch?v=wR_3fz7iOhU
